
east:821070.0, north:807840.0, Cheung Chau, 長洲
east:814052.0, north:810793.0, Golden Coast House 24, 金灣海岸24號屋
east:814053.0, north:810802.0, Golden Coast House 25, 金灣海岸25號屋
east:814060.0, north:810810.0, Golden Coast House 26, 金灣海岸26號屋
east:814028.0, north:810757.0, Golden Coast House 3, 金灣海岸3號屋
east:814036.0, north:810748.0, Golden Coast House 4, 金灣海岸4號屋
east:814048.0, north:810750.0, Golden Coast House 5, 金灣海岸5號屋
east:814064.0, north:810761.0, Golden Coast House 6, 金灣海岸6號屋
east:814068.0, north:810770.0, Golden Coast House 7, 金灣海岸7號屋
east:814070.0, north:810785.0, Golden Coast House 8, 金灣海岸8號屋
east:814076.0, north:810789.0, Golden Coast House 9, 金灣海岸9號屋
east:835462.3, north:819727.8, UPPER BAR AND RESTAURANT, UPPER BAR AND RESTAURANT
east:836288.0, north:821583.0, CHINA COAST COMMUNITY LTD. RESIDENTIAL CARE HOME FOR THE ELDERLY, 中華海岸老人院
east:842616.0, north:817073.0, One East Coast Tower 1, 海傲灣第1座
east:842650.0, north:817098.0, One East Coast Tower 2, 海傲灣第2座
east:817514.0, north:825936.0, AEGEAN COAST, 愛琴海岸
east:812795.0, north:817057.0, CARIBBEAN COAST, 映灣園
east:814051.0, north:810789.0, Golden Coast, 金灣海岸
east:835971.0, north:818514.0, Canteen Block, 餐廳配樓
east:840957.44215241, north:819405.84510859, Hong Lin Restaurant, 康年餐廳
east:814907.64319639, north:829947.28762269, Café Fusion, 樂融融餐廳
east:832099.1071713, north:825128.17185501, MacLehose Restaurant, 麥理浩餐廳
east:836213.0, north:811821.0, Panda Cafe, 大熊貓餐廳
east:815441.69318527, north:829662.61344222, CHING CHUNG CANTEEN, 青松觀餐廳
east:836503.19376195, north:815400.36567717, Lily Vale Café, 百合谷餐廳
east:835810.78177525, north:815702.23222245, iBakery Café (Wan Chai), iBakery餐廳 (灣仔)
east:834096.32311738, north:815272.72181156, Y Garden View Lounge, 園景軒餐廳
east:835117.47404214, north:815867.94531113, iBakery Gallery Café, iBakery 愛烘焙餐廳
east:835843.34361964, north:815439.86864013, Our City Love Restaurants, 友善香港好餐廳
east:830985.0, north:824071.0, Angliss Hong Kong Food Service Limited, 安得利香港餐飲有限公司
east:844469.66388567, north:819416.89264784, Haven of Hop Hospital Staff Canteen, 靈實醫院職員餐廳
east:835639.7, north:815307.4, 得寶軒, 得寶軒
east:835757.3, north:818533.9, 凱德賓館, 凱德賓館
east:839554.0, north:836593.0, , 凱苑
east:838061.0, north:815308.0, Dragon Court, 得雲閣
east:834651.76516, north:820209.967180001, LI TAK STREET, 利得街
east:838898.18531, north:827517.277419999, PAK TAK STREET, 百得街
east:838985.59539, north:827674.99804, TAK KEI STREET, 得基街
east:838966.36074, north:827579.27832, TAK LEE STREET, 得利街
east:838963.07118, north:827373.48962, TAK PO STREET, 得寶街
east:838824.74194, north:827480.14635, TAK WING STREET, 得榮街
east:838934.917, north:827293.40024, TAK YI STREET, 得怡街
east:829390.0, north:843150.0, Tak Yuet Lau, 得月樓
east:834043.0, north:820189.0, Hampton Loft, 凱帆薈
east:816549.0, north:835467.0, MOUNTAIN ROYAL, 傲凱峰
east:838726.0, north:828496.0, Racecourse Villa, 凱驊軒
east:843828.0, north:832372.0, VILLA CONCERTO, 凱弦居
east:843950.0, north:832240.0, VILLA RHAPSODY, 凱琴居
east:834117.45084, north:840767.931709999, HAI WING ROAD, 凱榮路
east:841102.0, north:815651.0, Hoi An Terrace, 凱雁臺
east:833391.0, north:820957.0, Hoi Pik House, 凱碧閣
east:833470.0, north:820993.0, Hoi Sha House, 凱莎閣
east:833520.0, north:820952.0, Hoi Ting House, 凱葶閣
east:833442.0, north:820921.0, Hoi Tung House, 凱曈閣
east:833493.0, north:820908.0, Hoi Yuk House, 凱旭閣
east:838594.0, north:817007.0, Dak Shing Building, 得勝大樓
east:834620.0, north:820224.0, Lai Tak Mansion, 利得大廈
east:835781.33560588, north:818645.79233007, 新凱旋聯誼會, 新凱旋聯誼會
east:836739.0, north:827269.0, Conference Room, 會議廳
east:830478.93479089, north:840059.52428551, GOLFER'S LOUNGE, 綠悠廳
east:829826.0, north:825398.0, The Dynasty Tower 1, 御凱第一座
east:829810.0, north:825438.0, The Dynasty Tower 2, 御凱第二座
east:814219.0, north:827028.0, Tuen Mun Recreation and Sports Centre General Restaurant and Pro Shop, 屯門康樂體育中心餐廳及體育用品專門店
east:830875.758, north:823739.778, Ever Gain Plaza, 永得利廣場
east:834663.0, north:820129.0, Cetus．Square Mile, 利奧坊．凱岸
east:842210.0, north:815983.0, Reception Hall & Lecture Hall, 接待大堂及演講廳
east:834026.0, north:820212.0, Hampton Place Tower 1, 凱帆軒第一座
east:834051.0, north:820204.0, Hampton Place Tower 2, 凱帆軒第二座
east:832670.0, north:816295.0, Fook Moon Building, 福滿大廈
east:836751.76339478, north:826344.81943701, 滿記汽車, 滿記汽車
east:829452.77364905, north:825914.04005208, 林強汽車, 林強汽車
east:811170.0, north:815384.0, JoysMark, 滿樂坊
east:811149.0, north:815485.0, JoysMark, 滿樂坊
east:816961.0, north:826421.0, The Bloomsway, 滿名山
east:811010.18034, north:815478.675179999, CHUNG MUN ROAD, 松滿路
east:835784.06975, north:826396.91481, MEI MUN LANE, 美滿里
east:842118.0, north:813646.0, Moon Wah Building, 滿華樓
east:816789.80054, north:826164.62043, MUN FAT LANE, 滿發里
east:811118.0, north:815282.0, Mun Hong House, 滿康樓
east:811135.0, north:815327.0, Mun Shun House, 滿順樓
east:811026.0, north:815300.0, Mun Tai House, 滿泰樓
east:811126.0, north:815456.0, Mun Wo House, 滿和樓
east:832936.4375, north:840178.9198, WO MUN STREET, 和滿街
east:836096.05, north:819861.83093, YAU MOON STREET, 祐滿街
east:826675.0, north:832135.0, Moon Wo Grand Houses, 滿禾軒
east:811124.0, north:815364.0, Mun Tung Estate, 滿東邨
east:816797.0, north:826416.0, The Laguna Tower 1, 滿庭1座
east:816889.0, north:826406.0, The Laguna Tower 10, 滿庭10座
east:816878.0, north:826383.0, The Laguna Tower 11, 滿庭11座
east:816866.0, north:826354.0, The Laguna Tower 12, 滿庭12座
east:816819.0, north:826432.0, The Laguna Tower 2, 滿庭2座
east:816842.0, north:826445.0, The Laguna Tower 3, 滿庭3座
east:816858.0, north:826491.0, The Laguna Tower 5, 滿庭5座
east:816885.0, north:826503.0, The Laguna Tower 6, 滿庭6座
east:816922.0, north:826484.0, The Laguna Tower 7, 滿庭7座
east:816932.0, north:826458.0, The Laguna Tower 8, 滿庭8座
east:816927.0, north:826431.0, The Laguna Tower 9, 滿庭9座
east:829648.0, north:825980.0, Moon Lok Dai Ha Moon Lok Kindergarten, 滿樂大廈滿樂幼稚園
east:844958.74143409, north:832388.34592261, 林記汽車服務, 林記汽車服務
east:833683.0, north:836935.0, , 御祿滿苑
east:846452.0, north:820132.0, THE RIVIERA, 滿湖花園
east:829645.0, north:825950.0, MOON LOK DAI HA, 滿樂大廈
east:832221.0, north:813522.0, , 薄扶林村街坊福利會
east:834739.0, north:821380.0, Kam Moon Lau, 金滿樓
east:836069.0, north:815418.0, Jade House, 玉滿樓
east:829647.0, north:825969.0, Moon Lok Kindergarten, 滿樂幼稚園
east:816865.0, north:826430.0, The Laguna, 滿庭
east:846339.0, north:820176.0, The Riviera Block 1, 滿湖花園1座
east:846409.0, north:820180.0, The Riviera Block 10, 滿湖花園10座
east:846423.0, north:820174.0, The Riviera Block 11, 滿湖花園11座
east:846428.0, north:820168.0, The Riviera Block 12, 滿湖花園12座
east:846439.0, north:820156.0, The Riviera Block 12A, 滿湖花園12A座
east:846443.0, north:820151.0, The Riviera Block 14, 滿湖花園14座
east:846451.0, north:820139.0, The Riviera Block 15, 滿湖花園15座
east:846455.0, north:820133.0, The Riviera Block 16, 滿湖花園16座
east:846466.0, north:820123.0, The Riviera Block 17, 滿湖花園17座
east:846472.0, north:820120.0, The Riviera Block 18, 滿湖花園18座
east:846485.0, north:820114.0, The Riviera Block 19, 滿湖花園19座
east:834983.4, north:815374.3, 港島香格里拉, ISLAND SHANGRI-LA, HONG KONG
east:826324.0, north:825738.0, La Casetta, 綠庭園
east:820064.0, north:817351.0, LA COSTA, 海堤居
east:836709.0, north:821539.0, La Noblesse, 豪福軒
east:836491.0, north:821381.0, La Villa, 龍濤花園
east:819923.0, north:817230.0, LA VISTA, 海寧居
east:836761.0, north:821329.0, La Maison De La Salle, 喇沙滙
east:836800.0, north:821448.0, La Villa De La Salle, 
east:847411.0, north:828591.0, 1 La Caleta, 盈峰灣1號
east:847404.0, north:828615.0, 10 La Caleta, 盈峰灣10號
east:847409.0, north:828615.0, 11 La Caleta, 盈峰灣11號
east:847416.0, north:828653.0, 16 La Caleta, 盈峰灣16號
east:847417.0, north:828670.0, 17 La Caleta, 盈峰灣17號
east:847417.0, north:828684.0, 18 La Caleta, 盈峰灣18號
east:847435.0, north:828636.0, 19 La CaLeta, 盈峰灣19號
east:847402.0, north:828590.0, 2 La Caleta, 盈峰灣2號
east:847443.0, north:828635.0, 20 La Caleta, 盈峰灣20號
east:847448.0, north:828635.0, 21 La Caleta, 盈峰灣21號
east:847456.0, north:828636.0, 22 La Caleta, 盈峰灣22號
east:847434.0, north:828651.0, 23 La Caleta, 盈峰灣23號
